Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,treatment,cell_type,cell_line
SRR31773483,OTHER,101,1658908941,PRJNA1199975,SAMN45902159,484137912,"ERIC VAN NOSTRAND, BIOCHEMISTRY AND MOLECULAR PHARMACOLOGY, BAYLOR COLLEGE OF MEDICINE",missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27135229,IFIT3KO,uncalculated,uncalculated,missing,Illumina HiSeq 4000,GSM8689720,SINGLE,other,OTHER,Mus musculus,ILLUMINA,2025-03-11T00:00:00Z,2024-12-19T03:43:00Z,1,GSM8689720,Mouse Embryonic Fibroblast,SRP552549,"VSV infected,Interferon treated",Mouse Embryonic Fibroblast,
SRR31773484,OTHER,101,1192816161,PRJNA1199975,SAMN45902160,353571142,"ERIC VAN NOSTRAND, BIOCHEMISTRY AND MOLECULAR PHARMACOLOGY, BAYLOR COLLEGE OF MEDICINE",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27135228,IFIT3KO,uncalculated,uncalculated,missing,Illumina HiSeq 4000,GSM8689719,SINGLE,other,OTHER,Mus musculus,ILLUMINA,2025-03-11T00:00:00Z,2024-12-19T03:44:00Z,1,GSM8689719,Mouse Embryonic Fibroblast,SRP552549,"VSV infected,Interferon treated",Mouse Embryonic Fibroblast,
SRR31773485,OTHER,101,1621580351,PRJNA1199975,SAMN45902161,473594974,"ERIC VAN NOSTRAND, BIOCHEMISTRY AND MOLECULAR PHARMACOLOGY, BAYLOR COLLEGE OF MEDICINE",missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27135227,IFIT3KO,uncalculated,uncalculated,missing,Illumina HiSeq 4000,GSM8689718,SINGLE,other,OTHER,Mus musculus,ILLUMINA,2025-03-11T00:00:00Z,2024-12-19T03:43:00Z,1,GSM8689718,Mouse Embryonic Fibroblast,SRP552549,"uninfected,Interferon treated",Mouse Embryonic Fibroblast,
SRR31773486,OTHER,101,1572914814,PRJNA1199975,SAMN45902162,459241328,"ERIC VAN NOSTRAND, BIOCHEMISTRY AND MOLECULAR PHARMACOLOGY, BAYLOR COLLEGE OF MEDICINE",missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27135226,IFIT3KO,uncalculated,uncalculated,missing,Illumina HiSeq 4000,GSM8689717,SINGLE,other,OTHER,Mus musculus,ILLUMINA,2025-03-11T00:00:00Z,2024-12-19T03:43:00Z,1,GSM8689717,Mouse Embryonic Fibroblast,SRP552549,"VSV infected,Interferon treated",Mouse Embryonic Fibroblast,
SRR31773487,OTHER,101,1558879551,PRJNA1199975,SAMN45902163,455428170,"ERIC VAN NOSTRAND, BIOCHEMISTRY AND MOLECULAR PHARMACOLOGY, BAYLOR COLLEGE OF MEDICINE",missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27135225,IFIT3KO,uncalculated,uncalculated,missing,Illumina HiSeq 4000,GSM8689716,SINGLE,other,OTHER,Mus musculus,ILLUMINA,2025-03-11T00:00:00Z,2024-12-19T03:43:00Z,1,GSM8689716,Mouse Embryonic Fibroblast,SRP552549,"VSV infected,Interferon treated",Mouse Embryonic Fibroblast,
SRR31773488,OTHER,101,1233949825,PRJNA1199975,SAMN45902164,363995010,"ERIC VAN NOSTRAND, BIOCHEMISTRY AND MOLECULAR PHARMACOLOGY, BAYLOR COLLEGE OF MEDICINE",missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27135224,IFIT3KO,uncalculated,uncalculated,missing,Illumina HiSeq 4000,GSM8689715,SINGLE,other,OTHER,Mus musculus,ILLUMINA,2025-03-11T00:00:00Z,2024-12-19T03:43:00Z,1,GSM8689715,Mouse Embryonic Fibroblast,SRP552549,"VSV infected,Interferon treated",Mouse Embryonic Fibroblast,
SRR31773489,OTHER,101,1773017529,PRJNA1199975,SAMN45902165,517573263,"ERIC VAN NOSTRAND, BIOCHEMISTRY AND MOLECULAR PHARMACOLOGY, BAYLOR COLLEGE OF MEDICINE",missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27135223,IFIT3KO,uncalculated,uncalculated,missing,Illumina HiSeq 4000,GSM8689714,SINGLE,other,OTHER,Mus musculus,ILLUMINA,2025-03-11T00:00:00Z,2024-12-19T03:46:00Z,1,GSM8689714,Mouse Embryonic Fibroblast,SRP552549,"uninfected,Interferon treated",Mouse Embryonic Fibroblast,
SRR31773490,OTHER,101,1256071148,PRJNA1199975,SAMN45902182,374902347,"ERIC VAN NOSTRAND, BIOCHEMISTRY AND MOLECULAR PHARMACOLOGY, BAYLOR COLLEGE OF MEDICINE",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27135222,WT,uncalculated,uncalculated,missing,Illumina HiSeq 4000,GSM8689697,SINGLE,other,OTHER,Mus musculus,ILLUMINA,2025-03-11T00:00:00Z,2024-12-19T03:44:00Z,1,GSM8689697,Mouse Embryonic Fibroblast,SRP552549,"uninfected,Interferon treated",Mouse Embryonic Fibroblast,
SRR31773491,OTHER,101,1250924390,PRJNA1199975,SAMN45902183,369104995,"ERIC VAN NOSTRAND, BIOCHEMISTRY AND MOLECULAR PHARMACOLOGY, BAYLOR COLLEGE OF MEDICINE",missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27135221,WT,uncalculated,uncalculated,missing,Illumina HiSeq 4000,GSM8689696,SINGLE,other,OTHER,Mus musculus,ILLUMINA,2025-03-11T00:00:00Z,2024-12-19T03:43:00Z,1,GSM8689696,Mouse Embryonic Fibroblast,SRP552549,"uninfected,untreated",Mouse Embryonic Fibroblast,
SRR31773492,OTHER,101,1417580248,PRJNA1199975,SAMN45902184,416538109,"ERIC VAN NOSTRAND, BIOCHEMISTRY AND MOLECULAR PHARMACOLOGY, BAYLOR COLLEGE OF MEDICINE",missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX27135220,WT,uncalculated,uncalculated,missing,Illumina HiSeq 4000,GSM8689695,SINGLE,other,OTHER,Mus musculus,ILLUMINA,2025-03-11T00:00:00Z,2024-12-19T03:44:00Z,1,GSM8689695,Mouse Embryonic Fibroblast,SRP552549,"VSV infected,Interferon treated",Mouse Embryonic Fibroblast,
