counts	instances_pre	instances_post
1	2072967	1069862
2	728472	561318
3	692409	554059
4	676070	557781
5	622263	531649
6	539826	476829
7	437391	388648
8	335427	310459
9	240555	224085
10	166462	158033
11	110633	110326
12	72204	74178
13	46790	47806
14	30567	35050
15	20453	23692
16	14713	17138
17	10697	13376
18	8736	10604
19	6786	8040
20	5735	7187
21	4894	5861
22	4003	4959
23	3414	4162
24	3000	3671
25	2599	3227
26	2496	3083
27	2077	2666
28	1673	2231
29	1721	2082
30	1522	1929
31	1280	1685
32	1141	1743
33	1143	1640
34	1021	1313
35	963	1302
36	855	1178
37	714	1044
38	698	1028
39	606	972
40	652	1002
41	559	936
42	593	983
43	473	854
44	444	664
45	427	594
46	441	683
47	470	628
48	399	611
49	346	628
50	357	541
51	316	495
52	283	487
53	309	480
54	271	432
55	269	450
56	264	479
57	209	404
58	194	356
59	199	350
60	190	318
61	149	301
62	172	329
63	113	305
64	181	258
65	167	289
66	146	251
67	117	247
68	140	259
69	125	219
70	127	230
71	142	257
72	157	248
73	137	232
74	138	181
75	137	245
76	89	218
77	66	185
78	92	146
79	63	196
80	82	170
81	86	226
82	79	163
83	77	164
84	58	188
85	79	124
86	41	143
87	64	184
88	46	143
89	66	135
90	55	143
91	57	130
92	40	103
93	36	134
94	73	116
95	73	110
96	57	92
97	67	157
98	62	141
99	48	109
100	53	80
101	49	105
102	33	91
103	23	79
104	48	106
105	22	112
106	32	71
107	31	86
108	31	74
109	22	69
110	27	80
111	30	122
112	53	98
113	24	90
114	31	52
115	33	44
116	25	84
117	26	63
118	37	54
119	32	45
120	18	55
121	53	84
122	25	56
123	30	45
124	20	56
125	31	46
126	24	70
127	13	79
128	19	47
129	15	72
130	26	70
131	8	56
132	13	56
133	24	72
134	20	54
135	22	51
136	20	45
137	14	69
138	27	57
139	15	56
140	16	31
141	15	42
142	8	57
143	17	50
144	12	54
145	10	38
146	16	49
147	14	32
148	17	34
149	12	39
150	15	45
151	11	34
152	14	29
153	6	24
154	12	37
155	10	34
156	16	23
157	6	40
158	10	29
159	4	32
160	2	26
161	12	40
162	4	41
163	9	38
164	11	17
165	15	44
166	8	59
167	12	32
168	13	51
169	11	34
170	8	21
171	9	42
172	8	32
173	9	23
174	10	29
175	6	35
176	5	32
177	12	45
178	19	40
179	4	29
180	6	24
181	15	37
182	4	24
183	4	31
184	10	20
185	2	9
186	4	28
187	14	30
188	8	17
189	4	18
190	7	22
191	4	23
192	10	22
193	4	28
194	12	24
195	7	19
196	0	24
197	4	20
198	6	41
199	2	22
200	8	19
201	0	28
202	7	18
203	2	29
204	4	15
205	7	16
206	2	7
207	4	24
208	10	40
209	4	17
210	2	13
211	4	29
212	6	13
213	4	18
214	6	12
215	2	16
216	2	19
217	16	17
218	2	17
219	10	15
220	4	14
221	9	15
222	11	13
223	0	31
224	7	24
225	4	22
226	3	17
227	6	21
228	3	18
229	2	35
230	6	14
231	2	16
232	0	15
233	2	6
234	6	11
235	4	27
236	0	1
237	6	11
238	6	12
239	2	16
240	4	12
241	4	11
242	5	16
243	0	5
244	10	3
245	6	6
246	2	32
247	6	21
248	2	17
249	0	19
250	4	10
251	0	16
252	4	18
253	2	14
254	4	7
255	6	13
256	4	24
257	0	22
258	4	5
259	2	4
260	0	2
261	2	12
262	0	12
263	3	14
264	5	14
265	2	7
266	0	7
267	4	1
268	2	9
269	2	12
270	6	7
271	4	4
272	6	17
273	6	7
274	2	5
275	2	10
276	2	9
277	2	5
278	0	10
279	2	22
280	2	6
281	4	17
282	3	4
283	0	16
284	0	2
285	4	6
286	4	16
287	0	2
288	4	10
289	2	4
291	0	8
292	0	4
293	0	7
294	2	9
295	2	11
296	0	12
297	0	2
298	0	5
299	0	2
300	0	9
301	4	6
302	0	10
303	0	2
304	2	18
305	4	0
306	0	6
307	0	9
308	4	15
309	2	10
311	0	3
312	0	2
313	4	4
314	0	7
315	2	22
316	0	6
317	6	14
318	2	9
319	0	4
320	3	6
321	4	14
322	4	10
323	6	11
324	2	3
325	4	16
326	0	8
327	0	11
328	2	19
329	4	6
330	0	9
331	2	12
332	0	12
333	4	21
334	2	15
335	2	11
336	0	8
337	0	20
338	3	3
339	0	5
340	0	3
341	0	3
342	2	11
343	4	2
344	2	3
345	2	8
347	4	13
348	2	4
349	0	6
350	2	2
351	2	10
352	0	2
353	9	7
354	0	8
355	0	12
356	0	16
357	0	4
358	0	7
359	2	6
360	2	0
361	0	4
362	0	6
363	0	4
364	0	5
365	0	8
366	0	1
