counts	instances_pre	instances_post
1	2355147	1531852
2	1120951	901995
3	861619	700394
4	671731	564954
5	498619	433170
6	352617	316472
7	231789	207329
8	145745	140813
9	88631	86524
10	53012	53317
11	32972	36960
12	20426	24259
13	13524	15964
14	9967	12868
15	7150	9371
16	5882	7583
17	4755	6261
18	4014	5305
19	3329	4240
20	2751	3663
21	2419	3220
22	2009	2578
23	1787	2387
24	1486	2236
25	1360	1833
26	1202	1720
27	1141	1505
28	978	1412
29	900	1346
30	798	1185
31	798	1075
32	614	978
33	606	936
34	549	773
35	451	846
36	456	765
37	440	759
38	402	687
39	396	635
40	354	509
41	287	578
42	284	549
43	257	534
44	310	519
45	221	462
46	263	387
47	233	414
48	193	365
49	218	348
50	193	343
51	186	329
52	212	267
53	155	283
54	187	263
55	114	218
56	132	232
57	132	217
58	134	240
59	96	203
60	86	200
61	128	193
62	86	196
63	94	188
64	115	195
65	71	186
66	68	154
67	54	167
68	77	171
69	85	166
70	86	136
71	86	149
72	63	141
73	57	136
74	34	142
75	56	109
76	51	139
77	56	138
78	46	109
79	38	98
80	44	122
81	38	99
82	29	101
83	39	87
84	42	82
85	38	108
86	36	74
87	27	121
88	35	79
89	37	74
90	31	86
91	35	112
92	38	65
93	45	85
94	28	92
95	36	73
96	24	66
97	21	84
98	18	112
99	27	100
100	33	82
101	33	78
102	15	72
103	21	64
104	29	47
105	31	50
106	27	65
107	22	61
108	16	87
109	22	69
110	28	37
111	14	52
112	25	56
113	14	45
114	18	45
115	17	70
116	15	50
117	16	46
118	10	54
119	8	43
120	18	27
121	8	53
122	23	39
123	15	34
124	11	28
125	14	32
126	12	41
127	17	30
128	15	55
129	20	38
130	4	46
131	6	32
132	6	60
133	8	48
134	11	28
135	6	21
136	10	36
137	10	17
138	8	37
139	6	27
140	9	29
141	11	43
142	8	29
143	8	30
144	4	39
145	10	22
146	2	45
147	11	19
148	4	21
149	7	38
150	12	10
151	4	29
152	8	26
153	6	24
154	10	21
155	4	30
156	6	18
157	3	41
158	4	42
159	8	16
160	4	31
161	5	18
162	11	13
163	4	31
164	6	25
165	0	20
166	12	20
167	6	31
168	12	16
169	2	24
170	11	17
171	4	31
172	4	11
173	4	18
174	4	27
175	6	17
176	4	20
177	4	24
178	2	17
179	4	18
180	4	11
181	4	14
182	4	19
183	6	13
184	2	18
185	0	15
186	2	17
187	10	9
188	4	16
189	6	14
190	4	11
191	6	15
192	2	20
