transcript_id,gene_id,gene_name,gene_type,chrom,utr5_start,utr5_end,strand,utr5_length,bound
ENST00000335137.3,ENSG00000186092.4,OR4F5,protein_coding,chr1,70005,70008,+,3,False
ENST00000423372.3,ENSG00000237683.5,AL627309.1,protein_coding,chr1,134900,139379,-,1884,False
ENST00000426406.1,ENSG00000235249.1,OR4F29,protein_coding,chr1,367639,368634,+,59,False
ENST00000332831.2,ENSG00000185097.2,OR4F16,protein_coding,chr1,621058,622053,-,59,False
ENST00000594233.1,ENSG00000269308.1,AL645608.2,protein_coding,chr1,819980,819983,+,3,False
ENST00000420190.1,ENSG00000187634.6,SAMD11,protein_coding,chr1,860259,861321,+,89,False
ENST00000437963.1,ENSG00000187634.6,SAMD11,protein_coding,chr1,860529,861321,+,60,False
ENST00000342066.3,ENSG00000187634.6,SAMD11,protein_coding,chr1,861117,879955,+,508,False
ENST00000341065.4,ENSG00000187634.6,SAMD11,protein_coding,chr1,879530,879955,+,425,False
ENST00000455979.1,ENSG00000187634.6,SAMD11,protein_coding,chr1,879530,879639,+,109,False
ENST00000327044.6,ENSG00000188976.6,NOC2L,protein_coding,chr1,879583,894670,-,543,False
ENST00000338591.3,ENSG00000187961.9,KLHL17,protein_coding,chr1,895966,901095,+,634,False
ENST00000466300.1,ENSG00000187961.9,KLHL17,protein_coding,chr1,898763,899910,+,453,False
ENST00000379410.3,ENSG00000187583.6,PLEKHN1,protein_coding,chr1,901876,910488,+,571,False
ENST00000379409.2,ENSG00000187583.6,PLEKHN1,protein_coding,chr1,901881,910388,+,466,False
ENST00000379407.3,ENSG00000187583.6,PLEKHN1,protein_coding,chr1,901881,910388,+,466,False
ENST00000491024.1,ENSG00000187583.6,PLEKHN1,protein_coding,chr1,909952,911245,+,170,False
ENST00000433179.2,ENSG00000187642.5,C1orf170,protein_coding,chr1,910578,911554,-,976,False
ENST00000341290.2,ENSG00000187642.5,C1orf170,protein_coding,chr1,910583,917473,-,1007,False
ENST00000428771.2,ENSG00000188290.6,HES4,protein_coding,chr1,934341,935552,-,299,False
ENST00000304952.6,ENSG00000188290.6,HES4,protein_coding,chr1,934343,935491,-,236,False
ENST00000484667.2,ENSG00000188290.6,HES4,protein_coding,chr1,934349,935361,-,100,False
ENST00000379389.4,ENSG00000187608.5,ISG15,protein_coding,chr1,948802,949920,+,216,False
ENST00000379370.2,ENSG00000188157.9,AGRN,protein_coding,chr1,955502,991496,+,1188,False
ENST00000453464.2,ENSG00000237330.2,RNF223,protein_coding,chr1,1006345,1009687,-,1155,False
ENST00000379339.1,ENSG00000131591.13,C1orf159,protein_coding,chr1,1017197,1051461,-,1289,False
ENST00000448924.1,ENSG00000131591.13,C1orf159,protein_coding,chr1,1017197,1051736,-,1510,False
ENST00000294576.5,ENSG00000131591.13,C1orf159,protein_coding,chr1,1017197,1051736,-,1510,False
ENST00000379325.3,ENSG00000131591.13,C1orf159,protein_coding,chr1,1017202,1051475,-,1443,False
ENST00000421241.2,ENSG00000131591.13,C1orf159,protein_coding,chr1,1017202,1051478,-,1247,False
ENST00000477196.1,ENSG00000131591.13,C1orf159,protein_coding,chr1,1017204,1051469,-,2920,False
ENST00000467751.1,ENSG00000131591.13,C1orf159,protein_coding,chr1,1017204,1051469,-,1766,False
ENST00000379320.1,ENSG00000131591.13,C1orf159,protein_coding,chr1,1017614,1027554,-,1292,False
ENST00000379319.1,ENSG00000131591.13,C1orf159,protein_coding,chr1,1018079,1041507,-,503,False
ENST00000434641.1,ENSG00000131591.13,C1orf159,protein_coding,chr1,1026923,1051475,-,171,False
